Tempo,Teste 1,Teste 2,Teste 3,-0.05,0.05,-0.2,0.2,,,,,,,
16:15,0.0027,0.0028,0.0027,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
16:30,0.0022,0.0021,0.0021,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
16:45,0.0024,0.0027,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
17:00,0.0024,0.0021,0.0027,0.0023,0.0026,0.002,0.003,,,,,,,0.0027
17:15,0.0025,0.0024,0.0021,0.0023,0.0026,0.002,0.003,,,,,,,0.0021
17:30,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
17:45,0.0024,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
18:00,0.0027,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
18:15,0.0021,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
18:30,0.0024,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
18:45,0.0023,0.0028,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0022
19:00,0.0023,0.002,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
19:15,0.0024,0.0025,0.0027,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
19:30,0.0024,0.0024,0.002,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
19:45,0.0022,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
20:00,0.0024,0.0028,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
20:15,0.0025,0.0021,0.0023,0.0023,0.0026,0.002,0.003,,,,,,,0.0027
20:30,0.0023,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0013
20:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0034
21:00,0.0023,0.0026,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
21:15,0.0027,0.0026,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0027
21:30,0.0013,0.0021,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0021
21:45,0.0034,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
22:00,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0019
22:15,0.0027,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0029
22:30,0.0021,0.0024,0.0013,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
22:45,0.0023,0.0024,0.0034,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
23:00,0.0019,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
23:15,0.0029,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0021
23:30,0.0024,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
23:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
,0.0001804347826,0.0001134215501,0.0001183364839,,,,,,,,,,,0.0025
,0.002454347826,0.002411956522,0.002402173913,,,,,,,,,,,0.0024
,0.00245,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0028
,,,,,,,,,,,,,,0.002
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0028
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0022
,,,,,,,,,,,,,,0.0028
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0028
,,,,,,,,,,,,,,0.002
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0028
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0028
,,,,,,,,,,,,,,0.0022
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0022
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0022
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0029
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0024
