2AR2,T,2CR3,T
536,7:39,408,7:40
529,8:09,455,8:10
510,8:39,446,8:39
536,9:09,448,9:09
557,9:39,447,9:40
545,10:08,484,10:10
529,10:38,481,10:40
527,11:08,472,11:10
536,12:06,408,12:08
501,13:09,360,13:10
480,14:08,410,14:10
467,15:07,397,15:08
503,16:09,404,16:11
518,17:04,390,17:05
650,18:02,411,18:03
561,19:07,440,19:09
