Hora,Teste 1 (g),Teste 2 (g),Teste 3 (g),Teste 4 (g),Teste 5 (g),Teste 6 (g),Teste 7 (g),Teste 8 (g),Teste 9 (g),Teste 10 (g),-0.05,0.05,-0.2,0.2
0,0.0028,0.0038,0.0033,0.0028,0.0038,0.0045,0.0067,0.0025,0.0032,0.0041,0.00475,0.00525,0.004,0.006
1,0.0038,0.0042,0.0043,0.0043,0.0041,0.004,0.0044,0.0041,0.0041,0.0037,0.00475,0.00525,0.004,0.006
2,0.0042,0.0046,0.0045,0.004,0.0047,0.0045,0.0045,0.0043,0.0044,0.0049,0.00475,0.00525,0.004,0.006
3,0.0045,0.0041,0.0045,0.0046,0.0044,0.0043,0.004,0.004,0.0043,0.004,0.00475,0.00525,0.004,0.006
4,0.0047,0.004,0.0045,0.0041,0.0047,0.0047,0.0042,0.0041,0.0044,0.0048,0.00475,0.00525,0.004,0.006
5,0.0041,0.0039,0.0043,0.0045,0.0043,0.0041,0.0041,0.0041,0.0042,0.004,0.00475,0.00525,0.004,0.006
6,0.0047,0.0045,0.0047,0.0042,0.0035,0.0055,0.0048,0.0047,0.0049,0.0049,0.00475,0.00525,0.004,0.006
7,0.0042,0.0043,0.0041,0.0047,0.0042,0.0034,0.0047,0.0045,0.0041,0.0041,0.00475,0.00525,0.004,0.006
8,0.0041,0.0044,0.0045,0.0045,0.0046,0.0047,0.0047,0.0046,0.0044,0.0045,0.00475,0.00525,0.004,0.006
9,0.0047,0.0043,0.0054,0.0049,0.0039,0.0053,0.0056,0.0051,0.0052,0.004,0.00475,0.00525,0.004,0.006
10,0.0045,0.0045,0.0046,0.0046,0.0049,0.0038,0.004,0.0042,0.0044,0.0049,0.00475,0.00525,0.004,0.006
11,0.0043,0.0042,0.0042,0.0046,0.0043,0.0047,0.0042,0.0041,0.0043,0.004,0.00475,0.00525,0.004,0.006
12,0.0041,0.0045,0.0042,0.0043,0.0047,0.0041,0.0039,0.004,0.0043,0.0046,0.00475,0.00525,0.004,0.006
13,0.0043,0.0041,0.0044,0.0043,0.0042,0.0046,0.0044,0.0046,0.0046,0.004,0.00475,0.00525,0.004,0.006
14,0.0044,0.0047,0.0049,0.0043,0.0045,0.0044,0.0042,0.0045,0.0043,0.0049,0.00475,0.00525,0.004,0.006
15,0.0045,0.0043,0.0044,0.0046,0.0044,0.0045,0.0048,0.0046,0.0047,0.0042,0.00475,0.00525,0.004,0.006
16,0.0044,0.0044,0.0044,0.0044,0.0043,0.004,0.0044,0.0044,0.0041,0.0046,0.00475,0.00525,0.004,0.006
17,0.0044,0.0043,0.0043,0.0041,0.004,0.0046,0.0045,0.0044,0.0047,0.004,0.00475,0.00525,0.004,0.006
18,0.0043,0.0047,0.0044,0.0046,0.0046,0.0039,0.004,0.0041,0.0039,0.0046,0.00475,0.00525,0.004,0.006
19,0.0042,0.004,0.0047,0.004,0.0041,0.0047,0.0042,0.0045,0.0047,0.0039,0.00475,0.00525,0.004,0.006
20,0.0041,0.0043,0.0041,0.0045,0.005,0.0042,0.004,0.004,0.004,0.0049,0.00475,0.00525,0.004,0.006
21,0.0042,0.0044,0.0046,0.0042,0.0042,0.0049,0.0045,0.0048,0.0052,0.004,0.00475,0.00525,0.004,0.006
22,0.0041,0.0042,0.0044,0.0047,0.0048,0.0039,0.0047,0.0042,0.0037,0.0049,0.00475,0.00525,0.004,0.006
23,0.0055,0.0045,0.0044,0.0042,0.004,0.0044,0.0047,0.0046,0.0043,0.004,0.00475,0.00525,0.004,0.006
