x1,x2,x3
0.0004,0.008,0.0078
0.009,0.0014,0.0084
0.0103,0.018,0.0008
0.07,0.0089,0.0244
0,0.0094,0.0091
0.0097,0.0107,0.0097
0.01,-0.0004,0.01
0.104,0.257,0.0009
0.0006,0.0105,0.0178
0,0.0097,0.0097
0.0177,0.0005,0.0105
0.0076,0.0004,0.002
0.008,0.028,0.001
0.0087,0.0092,0.027
0.0005,0.011,0.0079
0.0009,0.0023,0.0098
0.0052,0.0177,0.001
0.0086,0.008,0.0007
0.0077,0.0077,0.027
0.008,0.0082,0.0046
0.006,0,0.0079
0.025,0.0006,0.0085
0.01,0.025,-0.0005
0.0079,0.0085,0.0004
