x1,x2,x3
0,0.008,0.008
0.009,0.001,0.008
0.01,0.018,0.001
0.07,0.009,0.024
0,0.009,0.009
0.01,0.011,0.01
0.01,0,0.01
0.104,0.257,0.001
0.001,0.011,0.018
0,0.01,0.01
0.018,0.001,0.011
0.008,0,0.002
0.008,0.028,0.001
0.009,0.009,0.027
0.001,0.011,0.008
0.001,0.002,0.01
0.005,0.018,0.001
0.009,0.008,0.001
0.008,0.008,0.027
0.008,0.008,0.005
0.006,0,0.008
0.025,0.001,0.009
0.01,0.025,-0.001
0.008,0.009,0
