Tempo,Teste 1,Teste 2,Teste 3,-0.05,0.05,-0.2,0.2,,,,,,
16:30,0.0025,0.0024,0.0026,0.0023,0.0026,0.002,0.003,,,,,,0.0025
16:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
17:00,0.0025,0.0026,0.0026,0.0023,0.0026,0.002,0.003,,,,,,0.0025
17:15,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0024
17:30,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
17:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
18:00,0.0025,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
18:15,0.0024,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
18:30,0.0024,0.0025,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0026
18:45,0.0025,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
19:00,0.0025,0.0019,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
19:15,0.0024,0.003,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
19:30,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
19:45,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
20:00,0.0025,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
20:15,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0023
20:30,0.0024,0.0026,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
20:45,0.0024,0.0024,0.0026,0.0023,0.0026,0.002,0.003,,,,,,0.0024
21:00,0.0025,0.0024,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0024
21:15,0.0023,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
21:30,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
21:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
22:00,0.0024,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0023
22:15,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
22:30,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
22:45,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0023
23:00,0.0023,0.0024,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0
23:15,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
23:30,0.0025,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
23:45,0.0023,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
,0.00008617674858,0.0001021266541,0.0001792060491,,,,,,,,,,0.0024
,0.002481521739,0.002410869565,0.002410869565,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0019
,,,,,,,,,,,,,0.003
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0054
,,,,,,,,,,,,,0.0004
,,,,,,,,,,,,,0.0013
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0014
,,,,,,,,,,,,,0.0036
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
