2AR2,T,2CR3,T
499,7:16,475,7:17
472,7:35,443,7:46
490,8:17,379,8:18
578,8:46,441,8:47
501,9:16,442,9:17
511,9:45,463,9:45
537,10:17,452,10:16
525,10:46,390,10:48
452,11:46,407,11:47
466,12:45,376,12:46
440,13:47,367,13:47
510,14:45,374,14:46
467,15:46,350,15:47
443,16:46,377,16:46
526,17:45,380,17:46
543,18:47,360,18:47
