auxilo,h infusao,horario,MVP,BII
250,11:40,9:55,335,152
250,12:40,11:10,296,242
250,13:40,12:10,346,260
250,14:41,13:10,328,257
250,15:48,14:10,337,179
250,16:49,15:10,81,81
250,17:51,16:10,35,65
250,18:53,17:10,54,60
250,19:55,18:10,32,38
,,19:10,45,43
,,20:10,47,40
