X1,X2,X3,X4
0:00,0,"0,0023","0,0023"
0:30,0,"-0,0001","-0,0001"
1:00,"0,0002","0,0001","-0,0001"
1:30,"0,0022","0,0028","0,0029"
2:00,"0,0026","0,0029","0,0028"
2:30,"0,0027","0,003","0,0028"
3:00,"0,0025","0,0028","0,0028"
3:30,"0,0028","0,0028","0,0029"
4:00,"0,0027","0,0028","0,0028"
4:30,"0,0028","0,0027","0,0014"
5:00,"0,0029","0,0028","0,0001"
5:30,"0,0028","0,0025","0,0001"
6:00,"0,0029","0,0028",0
6:30,"0,0029","0,0027","0,0001"
7:00,"0,003","0,0028","0,0001"
7:30,"0,0029","0,0027",0
8:00,"0,003","0,0027",0
8:30,"0,0029","0,0028",0
9:00,"0,0031","0,0027","-0,0001"
9:30,"0,0031","0,0029","-0,0001"
10:00,"0,003","0,0031","-0,0001"
10:30,"0,003","0,0024","-0,0001"
11:00,"0,003","0,0029","-0,0002"
11:30,"0,003","0,0027","-0,0001"
12:00,"0,003","0,0027","-0,0002"
12:30,"0,003","0,0028","-0,0002"
13:00,"0,003","0,0027","-0,0003"
13:30,"0,0028","0,0028","-0,0001"
14:00,"0,003","0,0027",0
14:30,"0,003","0,0026",0
15:00,"0,0028","0,0026",0
15:30,"0,0029","0,0026","-0,0002"
16:00,"0,0028","0,0027","0,0001"
16:30,"0,0028","0,0024","-0,0001"
17:00,"0,0028","0,0031","-0,0001"
17:30,"0,0029","0,0028","-0,0001"
18:00,"0,0029","0,0027","-0,0001"
18:30,"0,003","0,0027","-0,0001"
19:00,"0,0031","0,0026","-0,0001"
19:30,"0,003","0,0028","-0,0001"
20:00,"0,0028","0,0028","-0,0001"
20:30,"0,0029","0,0028","-0,0001"
21:00,"0,0029","0,0028","-0,0001"
21:30,"0,0028","0,0028","-0,0001"
22:00,"0,0028","0,0026","-0,0001"
22:30,"0,0028","0,0027","-0,0001"
23:00,"0,0028","0,0027","-0,0001"
23:30,"0,0027","0,0028","-0,0001"
