horario,2cr1,2dr2,2cr2,2dr1
7:19,138,169,212,176
8:19,70,172,84,51
9:20,175,169,90,58
10:15,166,137,154,223
11:15,198,150,94,70
12:15,127,148,70,99
13:15,96,158,52,69
14:15,49,144,73,92
15:15,45,158,113,205
16:15,50,154,188,73
17:15,46,159,58,60
18:15,46,179,47,64
19:15,54,165,102,170
