x1,x2,x3
0.007,0.01,0.009
0.011,0.009,0.01
0.009,0.01,0.01
0.01,0.01,0.009
0,0.01,0.008
0.002,0.009,0.007
0.002,0.009,0.007
0,0.01,0.007
0.009,0.01,0.008
0.01,0.008,0.008
0.009,0.009,0.006
0.01,0.01,0.007
0.01,0.009,0.006
0.01,0.01,0.006
0.01,0.009,0.007
0.01,0.01,0.005
0.01,0.009,0.005
0.01,0.009,0.006
0.01,0.01,0.006
0.01,0.01,0.005
0.01,0.009,0.005
0.011,0.009,0.004
0.01,0.009,0.003
0.01,0.01,0.002
