x1,x2
0,"0,0000"
1,"-0,0006"
2,"0,0543"
3,"0,0137"
4,"0,0093"
5,"0,0028"
6,"-0,0035"
7,"0,0034"
8,"0,0121"
9,"0,0161"
10,"0,0333"
11,"0,0161"
12,"0,0131"
13,"0,0113"
14,"0,0119"
15,"0,0019"
16,"0,0019"
17,"0,0104"
18,"0,0122"
19,"0,0062"
20,"0,0252"
21,"0,0170"
22,"0,0250"
23,"0,0169"
24,"-0,0052"
