x1,x2,x3,x4,x5
0,0.001,0.001,0.001,0.001
-0.001,0.001,0.002,0,0.001
-0.001,0.001,0.001,0,0.001
-0.001,0.001,0.001,0,0.001
-0.001,0.001,0.001,0.002,0.001
0.001,0,0,0.002,0.001
0.001,0.001,0.001,0,0
0.002,0.001,0,0.002,0.001
0.003,0,0.002,0.002,0
0.003,0.001,0.001,0,0.001
0.004,0.001,0,0.005,0
0.005,0.001,0,0,0
0.005,0,0.001,0.001,0
0.007,0,0.001,0.001,0.001
0.008,0.003,0.002,0,0.001
0.009,0.001,0.003,0,0
0.009,0,0,0,0.001
0.014,0,0.001,0.001,0.002
0.015,0.001,0.001,0,0.001
0.015,0.001,0.001,0.002,0.001
0.017,0.002,0.002,0.001,0
0.019,0.002,0.002,0,0.001
0.019,0.001,0.002,0,0
0.018,0.002,0,0.001,0.001
