X1,X2,X3,X4
0:00,"0,0001","0,0029","0,0028"
0:30,"0,003","0,0002","-0,0001"
1:00,"-0,0001",0,0
1:30,"0,0023","0,0035","0,0031"
2:00,"0,0039","0,0034","0,003"
2:30,"0,0017","0,0032","0,003"
3:00,"0,0026","0,0031","0,003"
3:30,"0,0034","0,0033","0,003"
4:00,"0,0028","0,0031","0,0031"
4:30,"0,0027","0,003","0,0032"
5:00,"0,003","0,0034","0,003"
5:30,"0,0029","0,0034","0,0031"
6:00,"0,0027","0,0033","0,0031"
6:30,"0,0026","0,0033","0,0032"
7:00,"0,0026","0,0033","0,0032"
7:30,"0,0027","0,003","0,0031"
8:00,"0,0027","0,0032","0,003"
8:30,"0,0027","0,0031","0,003"
9:00,"0,0027","0,0033","0,0032"
9:30,"0,0026","0,0032","0,0033"
10:00,"0,0027","0,0031","0,0031"
10:30,"0,0028","0,0033","0,0033"
11:00,"0,0027","0,003","0,003"
11:30,"0,0028","0,0031","0,0031"
12:00,"0,0028","0,0032","0,0031"
12:30,"0,003","0,0032","0,0028"
13:00,"0,0028","0,0032","0,0031"
13:30,"0,0029","0,0031","0,0031"
14:00,"0,003","0,003","0,003"
14:30,"0,0032","0,0031","0,003"
15:00,"0,0032","0,003","0,0029"
15:30,"0,003","0,0031","0,003"
16:00,"0,0032","0,0031","0,003"
16:30,"0,0031","0,0031","0,0032"
17:00,"0,0031","0,003","0,0032"
17:30,"0,003","0,003","0,0031"
18:00,"0,003","0,0031","0,0032"
18:30,"0,0032","0,0031","0,0029"
19:00,"0,0031","0,0033","0,003"
19:30,"0,0032","0,0032","0,003"
20:00,"0,0031","0,0032","0,003"
20:30,"0,0032","0,0032","0,003"
21:00,"0,0033","0,0035","0,0031"
21:30,"0,0035","0,0033","0,0031"
22:00,"0,0034","0,0034","0,0029"
22:30,"0,0034","0,0032","0,0032"
23:00,"0,0032","0,0031","0,0032"
23:30,"0,0032","0,0032","0,0031"
