x1,x2,x3,x4,x5
0.0007,,0.0009,,0.0008
,,,,0.0006
,0.0008,,,0.0008
0.0008,0.001,,0.0009,0.0008
0.0008,0.001,0.0009,,0.0008
0.0008,0.0009,,,
,,0.0009,0.0008,
,,,,
0.0007,,,,0.0009
0.0008,,,,0.0008
,0.001,0.001,,0.0008
,,,0.0008,0.0008
,0.0009,0.0008,,
0.0008,0.0009,,,0.0009
,0.001,,,
0.001,0.0011,0.0009,,0.0008
,0.001,0.0009,,0.0008
,,,0.0009,
0.001,,0.001,,0.0009
,,0.0008,0.0008,0.0008
,,,,
,,0.001,,
,,,0.0007,0.0009
0.001,,0.0008,,
