horario,2cr1,2dr2,2cr2,2dr1
7:10,99,118,268,233
8:15,186,124,62,106
9:15,53,149,70,71
10:15,58,130,58,78
11:15,64,146,55,52
12:15,48,132,79,82
13:15,67,148,167,73
14:15,61,163,150,69
15:15,51,163,177,94
16:15,58,,71,46
17:15,44,141,245,97
18:15,55,179,91,61
19:15,57,175,103,152
