2AR2,T,2CR3,T
497,7:57,420,7:58
449,8:28,427,8:28
482,8:58,451,8:59
418,9:29,453,9:30
478,9:57,430,9:58
464,10:28,465,10:29
540,10:57,494,10:58
523,11:28,455,11:29
493,12:27,457,12:28
541,13:27,517,13:28
484,14:28,497,14:29
417,15:30,446,15:31
431,16:32,401,16:33
391,17:27,421,17:28
384,18:24,395,18:25
518,19:28,488,19:30
